Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017,HDI
Central African Republic,CAF,59.02,103.730003356934,8.15435487495586,2.88933834151979,-200000.0,3.5,829.0,114.5,540.0,59.02,91.58,,0.0478674712480566,56.8284973827312,6888751.401,1.38,129.074,63.7639999389648,80.2639999389648,4.796,42.0,46.1,25.57404521,0.435158831885741,1.43596760684367,8.57142857142857,22.0,22.0,,18.96,7.37748081800379,0.395
Canada,CAN,18.65,108.199996948242,6.47185517071381,4.29519975818658,1210159.0,,10.0,5.2,5.6,18.65,22.47,,15.5445710376544,6.42838313258525,25357801000.497,228.42,8.387,61.4809989929199,70.161003112793,1.54,91.0,2.5,86.28149306,26565.2683156842,1.35160223192956,26.2686567164179,1.5,1.5,4053.0,60214.84,4.07616632034255,0.928
Switzerland,CHE,26.239,97.7399978637695,38.2882339141862,10.0765183142132,259999.0,0.2,5.0,4.2,7.2,26.239,24.99,,4.57888468817908,10.3031001048906,143235966548.555,97.93,2.763,62.5999984741211,74.4589996337891,1.52,96.0,2.5,131.1359393,32951.9962517038,0.656917773004311,32.5,10.0,10.0,1337.0,22420.65,213.883833978261,0.955
Chile,CHL,12.51,99.1100006103516,21.1920939515717,1.72420285878752,558539.0,0.5,13.0,7.4,17.0,12.51,24.11,,4.71401998354799,21.0362990619754,6127820993.23861,51.6,41.052,48.742000579834,71.5660018920898,1.678,93.0,3.0,124.5944777,7258.19397323344,1.93582929978579,,7.5,7.5,425.0,6791.32,24.8414795866217,0.849
China,CHN,42.04,102.870002746582,56.0793505508419,12.6785032793826,-1741996.0,,29.0,9.2,62.0,42.04,13.13,,7.23098503140634,52.6645958291981,166083755721.649,84.43,7.635,63.2919998168945,75.9919967651367,1.683,99.0,2.5,103.4384208,207.64925172699,1.74645507017874,24.2476060191518,24.9,24.9,1245709.0,473438.51,148.144225437905,0.755
Cote d'Ivoire,CIV,49.674,111.48999786377,66.6666666666667,11.0062893081761,-40000.0,2.5,617.0,86.0,148.0,49.674,62.54,,0.432123221389145,25.8862663364222,975014998.795493,7.1,117.627,46.1720008850098,65.6630020141602,4.704,83.0,15.0,129.9121104,8.6752006907424,1.32959989389096,10.5882352941176,8.0,8.0,,197.66,76.8474056603774,0.534
Cameroon,CMR,44.223,103.040000915527,20.6257536333058,13.1158638488714,-24000.0,3.4,529.0,80.6,194.0,44.223,79.17,,0.373279082746811,72.7930962237353,814458940.927625,4.37,105.8,70.6559982299805,81.5820007324219,4.639,74.0,5.6,81.96421137,8.54837586964459,1.17379348253472,31.1111111111111,16.0,17.0,,800.58,51.96858539062,0.56
"Congo, Dem. Rep.",COD,56.12,105.849998474121,13.8947089830396,5.20500209523389,119303.0,0.8,473.0,89.6,322.0,56.12,96.7,,0.0350128150547809,44.9092635986842,1047979482.55526,1.35,124.22,62.4669990539551,69.6449966430664,6.017,57.0,40.2,43.45919307,2.55532132459258,0.770467135721514,8.94308943089431,7.0,7.0,,135.94,35.9051476588518,0.478
"Congo, Rep.",COG,33.541,103.639999389648,31.1215226939971,1.61054172767204,-20000.0,3.3,378.0,49.1,376.0,33.541,69.73,,1.05856316920362,46.6382202758892,4416953734.0,9.5,112.229,66.7839965820313,69.125,4.482,69.0,36.0,98.92979331,4.69602897919483,4.20937535258866,11.2582781456954,49.0,50.0,,74.33,14.9654494875549,0.573
Colombia,COL,19.554,121.400001525879,44.6137899954935,5.42496620099144,1023981.0,0.4,83.0,14.6,33.0,19.554,32.53,,1.53322913611766,16.5272102219124,13700880445.1998,42.02,66.651,57.7350006103516,80.7770004272461,1.825,92.0,7.1,127.2136962,462.892500740751,3.20906243683398,18.6746987951807,11.0,11.0,595.0,6681.57,44.0827796304642,0.764
