"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central African Republic","CAF","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.13","0.33","0.69","0.98","0.98","1.23","0.69","0.85","1.16","1.38","","","","",
"Canada","CAN","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185.08","198.36","206.5","212.01","217.78","216.26","218.22","207.65","203.39","221.01","221.85","221.49","223.89","228.42","219.96","214.12","210.23","",
"Central Europe and the Baltics","CEB","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.275","41.43","44.75","50.34","54.38","57.43","59.51","64.9","65.03","63.9","63.41","68.45","66.78","66.83","64.71","64.39","63.13","",
"Switzerland","CHE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.37","89.18","91.26","93.21","94.15","94.91","95.99","98.96","99.28","98.96","97.64","98.71","98.42","97.93","99.2","97.15","93.96","",
"Channel Islands","CHI","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.41","39.47","43.45","48.95","54.87","57.81","61.68","64.64","67.54","63.87","56.63","55.88","53.23","51.6","49.69","49.62","49.47","",
"China","CHN","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.62","12","15.62","19.89","24.91","30.47","37.69","46.86","55.05","77.13","81.74","84.43","97.12","95.55","87.88","",
"Cote d'Ivoire","CIV","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69","4.46","4.32","5.57","6.61","6.75","6.8","7.1","6.9","6","7.3","",
"Cameroon","CMR","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.32","0.6","0.69","0.89","1.21","1.54","1.8","2.34","2.58","3.16","3.58","3.94","4.29","4.37","4.81","4.61","5.04","",
"Congo, Dem. Rep.","COD","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.41","0.49","0.65","0.72","1.11","1.31","1.2","1.35","1.4","","","",
