Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017
Bolivia,BOL,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92,30.92
Brazil,BRA,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691,13.691
Barbados,BRB,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841,68.841
Brunei Darussalam,BRN,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688,22.688
Bhutan,BTN,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833,59.833
Botswana,BWA,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
Central African Republic,CAF,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02,59.02
Canada,CAN,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65,18.65
Central Europe and the Baltics,CEB,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365,37.7515452707365
Switzerland,CHE,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239,26.239
Channel Islands,CHI,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086,69.086
Chile,CHL,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51
China,CHN,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04,42.04
Cote d'Ivoire,CIV,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674,49.674
Cameroon,CMR,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223,44.223
"Congo, Dem. Rep.",COD,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12
"Congo, Rep.",COG,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541,33.541
Colombia,COL,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554,19.554
Comoros,COM,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216,71.216
Cabo Verde,CPV,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739,34.739
Costa Rica,CRI,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44,21.44
Caribbean small states,CSS,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322,48.9553767414322
Cuba,CUB,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023,23.023
Curacao,CUW,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797,10.797
Cayman Islands,CYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,CYP,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164,33.164
Czech Republic,CZE,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325,26.325
Germany,DEU,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739,22.739
Djibouti,DJI,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352,22.352
Dominica,DMA,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819,29.819
Denmark,DNK,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243,12.243
Dominican Republic,DOM,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723,19.723
Algeria,DZA,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948,27.948
East Asia & Pacific (excluding high income),EAP,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956,45.3150242739956
Early-demographic dividend,EAR,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327,55.2741017528327
East Asia & Pacific,EAS,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282,41.8026869250282
Europe & Central Asia (excluding high income),ECA,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526,32.5439236691526
Europe & Central Asia,ECS,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419,27.9829858002419
Ecuador,ECU,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33,36.33
"Egypt, Arab Rep.",EGY,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295,57.295
Euro area,EMU,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524,23.2295528437524
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92,19.92
Estonia,EST,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283,31.283
Ethiopia,ETH,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69,79.69
European Union,EUU,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166,25.6924904552166
Fragile and conflict affected situations,FCS,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664,58.6397043672664
Finland,FIN,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675,14.675
Fiji,FJI,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258,44.258
France,FRA,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82,19.82
Faroe Islands,FRO,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086,58.086
"Micronesia, Fed. Sts.",FSM,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392,77.392
Gabon,GAB,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024,11.024
United Kingdom,GBR,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857,16.857
Georgia,GEO,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769,41.769
Ghana,GHA,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593,44.593
